bnumber,E14R012a01,E14R012a02,E14R012a03,E14R012a04,E14R012a05,E14R012a06,E14R012b01,E14R012b02,E14R012b03,E14R012b04,E14R012b05,E14R012b06,E14R012c01,E14R012c02,E14R012c03,E14R012c04,E14R012c05,E14R012c06
b1971,2.944537497911992e-11,2.5849347406152406e-11,2.608039663782555e-11,2.5037545473823853e-11,1.9522580597047574e-11,2.0883371582904944e-11,2.0579188109139013e-11,3.2987184758452673e-11,1.839307877931667e-11,2.0265830297643274e-11,2.0095982344305562e-11,2.8830640781690128e-11,2.3738581365936905e-11,2.478574015334093e-11,1.890113349047747e-11,2.7451281092883638e-11,3.06465732161127e-11,3.760745088606118e-11
b1972,1.8032312369380076e-11,1.2305086009343093e-11,1.5568609582226312e-11,1.3360586273708995e-11,1.6341457922642137e-11,1.581179488419747e-11,1.4461245747384475e-11,1.3908297531752853e-11,1.1756286506759751e-11,1.5272522990073237e-11,1.148745263310831e-11,1.901512102741627e-11,1.3940875769998132e-11,1.683893419374368e-11,1.0659484722088422e-11,1.2971096780679418e-11,1.5630764292088977e-11,1.7749620726104325e-11
b1973,1.0569709250359706e-11,5.5812354399520464e-12,4.9327569653457185e-12,4.592463629410229e-12,3.991086838799138e-12,3.6345664258698263e-12,7.652409207990953e-12,6.7936684097408154e-12,4.8357842473149425e-12,4.680809459401029e-12,4.536697742011514e-12,4.071520118831387e-12,6.2857676548749e-12,1.2262983265289978e-11,4.8348377132329635e-12,7.798008478798988e-12,1.0689038042820846e-11,3.901503171141778e-12
b1974,1.3355664633101745e-11,7.897974679177423e-12,1.4619885030938172e-11,1.0375228159789743e-11,1.1421034664488098e-11,1.3372461378200302e-11,1.5160433336585847e-11,1.7496900715653232e-11,1.0008020464667128e-11,1.148123074947422e-11,1.0249242664425218e-11,2.153392421339477e-11,1.4133093940992302e-11,1.613995956683356e-11,1.3227386196580748e-11,1.7931741195351445e-11,1.2484950094938992e-11,2.0734403645376112e-11
b1976,1.0553232383348384e-10,1.1904768190612897e-10,8.682869459597988e-11,8.200502974262206e-11,7.594916401729852e-11,4.742721559478819e-11,8.737380651532957e-11,8.920419059967082e-11,6.507375916242504e-11,7.324776722266901e-11,7.380410016143013e-11,7.720307126203176e-11,1.1192662396750263e-10,1.065979250391902e-10,8.098504827058977e-11,8.506140051763952e-11,8.966606567557191e-11,9.227520047179738e-11
b1978,1.432859458006306e-11,1.2541215869875288e-11,1.2272057058240092e-11,1.0879620258004508e-11,9.124776140461566e-12,8.972771657986648e-12,1.151754636307287e-11,1.2668521009967506e-11,1.0466797359070507e-11,1.1475044741527306e-11,8.70767644763672e-12,1.180466081654892e-11,1.376159090636475e-11,1.3847403513453228e-11,1.129108157308857e-11,1.2580432524136474e-11,1.2016499805198135e-11,1.142870134690815e-11
b1981,5.157321060493741e-11,4.177444459234624e-11,4.263686206748294e-11,4.667951653393896e-11,6.373810161760021e-11,6.170960758208886e-11,4.157653938992044e-11,4.3621959013913295e-11,4.060441940184659e-11,5.4619817827452166e-11,7.288399787898037e-11,7.754954139709951e-11,4.4500305459410693e-11,4.904647840183811e-11,4.0504624459265516e-11,4.71820991735843e-11,7.290793425501988e-11,7.065792217240049e-11
b1982,1.5163309913061364e-10,1.4356135175667572e-10,1.859678777971351e-10,2.0984097731863215e-10,2.28574050996333e-10,1.8055658607194623e-10,1.807842202850682e-10,1.770605669787677e-10,2.2482738316264794e-10,2.47309875645752e-10,2.773156257487455e-10,2.550475528358399e-10,1.6438536112559698e-10,1.4734751757854214e-10,1.6983448157040823e-10,2.1308433588258755e-10,2.4825215589396747e-10,2.271255628745076e-10
b1983,3.352576856984122e-10,3.2427289706983955e-10,2.9965694809848666e-10,2.6616641786301787e-10,1.9283440211981868e-10,1.8601137355861375e-10,3.8956747993194157e-10,2.9418671654191904e-10,2.850774171983368e-10,2.5336678995937307e-10,1.9465381299706857e-10,2.132252527315721e-10,3.433322579647102e-10,4.0946233126574587e-10,3.227726853247705e-10,3.5838438059424467e-10,2.190271761767161e-10,2.0109936038093443e-10
b1985,2.4081300446092708e-11,2.120644266020784e-11,1.8866883147547927e-11,1.8489814810654214e-11,1.802743774978763e-11,1.549029234966377e-11,2.41871710003749e-11,1.9005824199409413e-11,1.809963799694837e-11,2.3785720563281114e-11,2.317083085591836e-11,3.292537285067076e-11,2.2439105560162015e-11,2.3272051499894214e-11,2.186569174276508e-11,2.1410764285370877e-11,1.957962583819619e-11,3.4108635658939546e-11
