bnumber,logFC
b3801,-0.43504199950660793
b3800,0.113925927779894
b2064,-0.212685799293161
b3744,-1.45475759681962
b0674,-0.544531235535351
b3743,-0.4302276331602561
b0930,0.254733159990353
b4139,-2.44999744509862
b0928,-0.102546661457259
b1866,-0.215425295859048
b1597,0.246548470813885
b1747,3.2379426684930097
b1745,1.13655417997846
b1748,3.43429744619162
b1746,1.9588267297454598
b1744,0.671003950406801
b2222,-0.0722891531726248
b2224,0.008069235237663371
b2220,-0.129265267328113
b2221,-0.6910952440214461
b2223,-0.342533079807936
b2219,-0.40552713405875296
b3734,-0.10342916918100901
b3738,-0.14155018310036402
b3731,-0.11696984404996098
b3732,-0.132422552654675
b3737,-0.0324594132665304
b3736,-0.262992652147691
b3733,-0.251527060468513
b3735,-0.062506127099255
b3739,0.16816552797002302
b3572,0.295880910216059
b1412,0.250426866346982
b3057,0.0640549419002556
b2079,-0.0894089407713193
b2078,-0.0888687034044747
b2786,-0.19065307334061604
b4113,0.0140661471042426
b4112,0.392603091317016
b3570,0.224768262596165
b2480,-0.17531981956141698
b2182,-0.20286869042863398
b3533,0.0135146569831389
b3532,0.11361576668530801
b3530,-0.0592625866208603
b3531,-0.0592625866208603
b3536,0.5533530311008821
b3537,0.7489038172765191
b3538,0.8962162766552361
b3531,-0.45921204742926397
b1481,0.8525616525382891
b0311,4.31566268156801
b0312,4.17314173069752
b0313,4.30814333349596
b0314,4.818173090000291
b3337,4.76792036521313
b3336,-0.102680664837211
b2901,0.0610295779938629
b3721,0.0
b3722,0.0
b3723,-0.292714787457269
b3720,0.0
b4366,4.05226619790192
b2132,-0.196295130135228
b0774,0.775089722626123
b3412,0.8278855421103292
b0775,0.8278855421103292
b0777,0.643050228822339
b0776,0.658252763792607
b3412,-0.0519720500602711
b3871,0.34127325942262104
b3973,0.158831052134279
b3551,0.250241952505803
b4149,0.6865353702489672
b4409,-1.22919475380372
b0435,0.665182659261652
b0557,0.26968710498705
b0401,-0.087197217213067
b3966,-0.156724509983353
b1711,-0.00918727946183104
b1709,0.0733122855889974
b1710,0.458940564141239
b0158,0.0130110679089913
b1270,-0.0686934469656919
b4131,-0.287721601644531
b4132,-0.126220908154432
b4133,-0.908096645923823
b0039,-0.46316998583849495
b0038,-0.432941410694182
b0037,-0.466081374211307
b0036,0.19469547388760802
b0035,-1.28287207816988
b0034,-3.3731672955438596
b0040,-0.309018972412389
b0126,1.5874389912122802
b0032,1.58538139361372
b0033,1.4201588188263898
b1987,2.14481025014942
b1000,-0.946102756577622
b0999,-0.537345867101476
b3690,-0.47407591431575896
b3717,0.0
b3056,0.126092500401103
b2457,-0.37856416270877896
b2456,-0.285626044267792
b2201,-0.7675609997238649
b2200,-0.7658456637342879
b2199,-0.909679875486875
b2198,-0.49768099399429905
b2197,-1.04790075793089
b2196,-0.44501431095508004
b2195,-0.493189152611579
b2194,-0.458589763327284
b0162,-0.284817985480617
b2143,0.580555863855893
b3918,0.6514330415945601
b0175,0.14175599575841502
b1731,0.306188624635213
b1661,-0.273796614885148
b1216,1.9240232485976
b1217,0.39862801440782397
b1218,0.150116566416065
b1736,-0.45534514759461897
b1738,0.0592378632398661
b1737,0.0703479893357239
b1734,-0.14563164014426
b1733,-0.30782061862198995
b1735,-0.399723750043872
b1888,-0.101179180709913
b1883,-0.183366439373407
b1884,-0.0578720382049407
b1887,0.0414206863515549
b1882,-0.33683258329716304
b1881,-0.279262232944526
b3338,-0.21890492309850898
