genes,logFC,logCPM,LR,PValue,FDR,bnumber
acrE,-0.548692624774051,2.35602781175271,1.47803988054233,0.224081453162474,0.472793256574854,b0462
acrF,-0.211376709401391,4.41909013057348,0.693592341247658,0.404945173461208,0.66779618334439,b3266
acrR,0.106439516920508,5.62959064152903,0.249160758714682,0.617666633879062,0.828227176009473,b0464
acs,3.41395283674911,5.81147836585949,158.450521820803,2.46717897931378e-36,9.34714562425984e-35,b4069
actP,1.33231041717918,4.10539331231346,23.8190506015734,1.05829839339504e-06,9.78756051621665e-06,b4067
ada,-0.302834971160807,5.35700186597961,2.88970912277871,0.0891470192889765,0.257026686454666,b2213
add,0.279840843453498,4.90167050001522,1.93113650830295,0.164634158798453,0.384354017216496,b1623
ade,0.0971682913121968,4.30282387407652,0.175664043572231,0.675126282065955,0.859590222746974,b3665
adhE,-2.86812091861779,12.3150129774542,164.048807276896,1.4760445749464e-37,5.90281159184585e-36,b1241
adhP,2.34380231391222,6.15111605718387,124.215217001854,7.55844436446949e-29,2.07929434459514e-27,b1478
adiA,-0.900245803245619,5.13223690987239,11.7257630209178,0.000616407704596675,0.00376557973996187,b4117
adiC,-2.87118152803937,6.04481609013642,62.6165984991922,2.51128052212911e-15,4.35591187754042e-14,b4115
adiY,-4.08813963859234,6.72230974655206,243.684442218928,6.18525477526787e-55,5.04039912724187e-53,b4116
adk,-0.142621132231228,9.37439413403419,0.417142712289561,0.518366229487415,0.764335634405476,b0474
aegA,-0.99895942910267,5.0031385819686,15.8654613053666,6.80086132410609e-05,0.000486306623490301,b2468
aer,1.39956010622737,5.351271037099,30.4123754877203,3.49292669607522e-08,3.82892142140834e-07,b3072
aes,-0.234575989316595,3.45122203823455,0.545222808813207,0.460276248600547,0.717147589359944,b0476
afuB,-0.328681229460264,1.46069116538994,0.38502701783477,0.534925064712951,0.77554258291213,b0263
afuC,0.694259453372045,3.68381030127792,4.88098932173143,0.0271540512770772,0.105561068826009,b0262
agaA,-0.402958610155691,2.04596227703212,0.712351680608539,0.398664214680518,0.660931817199435,b3135
agaB,-0.00777565916076494,0.859110928380505,0.000214240085359307,0.988321826562794,1,b3138
agaC,-0.398185635110292,1.54790865510316,0.534945743419175,0.464534955685116,0.720145898637479,b3139
agaD,0.459193780647229,1.80265450309068,0.729856865181231,0.39292958798843,0.654983747789282,b3140
agaI,-0.0833874338061648,1.98258909697238,0.0319365144379722,0.858167063733443,0.948662285197016,b3141
agaR,-0.462039825042616,6.72257646662022,7.14141326608025,0.00753237737988227,0.0367790630220619,b3131
agaS,-0.36146252968554,2.75135736408018,0.842970290565372,0.358548645750281,0.620918845627692,b3136
agaV,0.199910722978578,1.40353562964379,0.115373511301829,0.73410749280005,0.887877418483175,b3133
agp,-0.0327401361096164,5.7555436935524,0.030579204621366,0.861182485162232,0.950551240073288,b1002
ahpC,2.08872929402187,12.6129823454054,80.7250265536104,2.59415839411177e-19,5.23559350662091e-18,b0605
ahpF,1.28524720030387,10.1243218102952,39.9014202964443,2.67108903043571e-10,3.6623598483974e-09,b0606
aidB,-0.413181970200445,6.57879446471815,3.34146058714112,0.0675546180051573,0.211120401710763,b4187
ais,0.722906514546335,2.15610623153218,1.78076900682272,0.182054925179659,0.411557213728309,b2252
alaS,-0.0667689900920554,10.5760138458493,0.0980454346217385,0.754187917435233,0.895026191955353,b2697
aldA,1.32971275602354,5.41609912197555,30.8994656404862,2.71746590282542e-08,3.04850265826052e-07,b1415
aldB,-0.0381357352297234,4.59439347392305,0.0422622748541587,0.837120638450746,0.939585248822446,b3588
alkA,0.202137116278852,4.00676466878132,0.633285625753037,0.426152679955579,0.687800233455959,b2068
alkB,-0.201888346294627,3.63737445024705,0.582403817254792,0.44537164083442,0.704858965468619,b2212
allA,-0.440191469414291,3.30229113110924,2.36789071061064,0.123854298659015,0.31689971321581,b0505
