bnumber,genes
b2238,yfaH
b2239,glpQ
b2240,glpT
b2241,glpA
b2242,glpB
b2243,glpC
b2244,yfaD
b2245,rhmA
b2245,yfaU
b2246,rhmT
b2246,yfaV
b2247,rhmD
b2247,yfaW
b2248,rhmR
b2248,yfaX
b2249,yfaY
b2250,yfaZ
b2251,nudI
b2251,yfaO
b2252,ais
b2252,pmrG
b2253,arnB
b2253,pmrH
b2253,yfbE
b2254,arnC
b2254,pmrF
b2254,yfbF
b2255,arnA
b2255,pmrI
b2255,yfbG
b2256,arnD
b2256,pmrJ
b2256,yfbH
b2257,arnT
b2257,pmrK
b2257,yfbI
b2258,arnF
b2258,pmrM
b2258,yfbJ
b2259,pmrD
b2260,menE
b2261,menC
b2262,menB
b2263,menH
b2263,yfbB
b2264,menD
b2265,menF
b2265,yfbA
b2266,elaB
b2266,yfbD
b2267,elaA
b2267,yfbC
b2268,rbn
b2268,elaC
b2268,rnz
b2269,elaD
b2270,yfbK
b2271,yfbL
b2272,yfbM
b2273,yfbN
b2274,yfbO
b2275,yfbP
b2276,nuoN
b2277,nuoM
b2278,nuoL
b2279,nuoK
b2280,nuoJ
b2281,nuoI
b2282,nuoH
b2283,nuoG
b2284,nuoF
b2285,nuoE
b2286,nuoC
b2286,nuoCD
b2286,nuoD
b2287,nuoB
b2288,nuoA
b2289,lrhA
b2289,genR
b2290,alaA
b2290,yfbQ
b2291,yfbR
b2292,yfbS
b2293,yfbT
b2294,yfbU
b2295,yfbV
b2296,ackA
b2296,ack
b2297,pta
b2298,yfcC
b2299,yfcD
b2300,yfcE
b2301,yfcF
b2302,yfcG
b2303,folX
b2304,yfcH
b2305,yfcI
b2306,hisP
b2307,hisM
b2308,hisQ
b2309,hisJ
b2310,argT
b2311,ubiX
b2311,dedF
b2312,purF
b2313,cvpA
b2313,dedE
b2314,dedD
b2315,folC
b2315,dedC
b2316,accD
b2316,dedB
b2316,usg
b2317,dedA
b2318,truA
b2318,asuC
b2318,hisT
b2318,leuK
b2319,usg
b2320,pdxB
b2321,flk
b2321,div
b2322,yfcJ
b2323,fabB
b2323,fabC
b2324,mnmC
b2324,yfcK
b2325,yfcL
b2326,epmC
b2326,yfcM
b2327,yfcA
b2328,mepA
b2329,aroC
b2330,prmB
b2330,yfcB
b2331,yfcN
b2332,yfcO
b2333,yfcP
b2334,yfcQ
b2335,yfcR
b2336,yfcS
b2339,yfcV
b2340,sixA
b2340,yfcW
b2341,fadJ
b2341,yfcX
b2342,fadI
b2342,yfcY
b2343,yfcZ
b2344,fadL
b2344,ttr
b2345,yfdF
b2346,mlaA
b2346,vacJ
b2347,yfdC
b2349,intS
b2349,intC
b2349,yfdB
b2350,yfdG
b2351,yfdH
b2352,yfdI
b2353,tfaS
b2354,yfdK
b2355,yfdL
b2356,yfdM
b2357,yfdN
b2357,yzyA
b2358,yfdO
b2359,yfdP
b2360,yfdQ
b2361,yfdR
b2362,yfdS
b2363,yfdT
b2364,dsdC
b2365,dsdX
b2365,yfdA
b2365,yfdD
b2366,dsdA
b2367,emrY
b2368,emrK
b2369,evgA
b2370,evgS
b2371,yfdE
b2372,yfdV
b2373,oxc
b2373,yfdU
b2374,frc
b2374,yfdW
b2375,yfdX
b2376,ypdI
b2377,yfdY
b2378,lpxP
b2378,ddg
b2379,alaC
b2379,yfdZ
b2380,ypdA
b2381,ypdB
b2382,ypdC
b2383,fryA
b2383,ypdD
b2384,ypdE
b2385,ypdF
b2386,fryC
b2386,ypdG
b2387,fryB
b2387,ypdH
b2388,glk
b2389,yfeO
b2390,ypeC
b2392,mntH
b2392,yfeP
b2393,nupC
b2393,cru
b2394,insL3
b2395,yfeA
b2398,yfeC
b2399,yfeD
b2400,gltX
b2405,xapR
b2405,pndR
b2405,yfeB
b2406,xapB
b2407,xapA
b2407,pndA
b2408,yfeN
b2409,yfeR
b2410,yfeH
b2411,ligA
b2411,dnaL
b2411,lig
b2411,lop
b2411,pdeC
b2412,zipA
b2413,cysZ
b2414,cysK
b2414,cysZ
b2415,ptsH
b2415,hpr
b2416,ptsI
b2417,crr
b2417,gsr
b2417,iex
b2417,tgs
b2417,treD
b2418,pdxK
b2418,yfeI
b2419,yfeK
b2420,yfeS
b2421,cysM
b2422,cysA
b2423,cysW
b2424,cysU
b2424,cysT
b2425,cysP
b2426,ucpA
b2426,yfeF
b2427,murR
b2427,yfeT
b2428,murQ
b2428,yfeU
b2429,murP
b2429,yfeV
b2430,yfeW
b2431,yfeX
b2432,yfeY
b2433,yfeZ
b2434,ypeA
b2435,amiA
b2435,yfeE
b2436,hemF
b2437,eutR
b2437,yfeG
b2438,eutK
b2438,yffI
b2439,eutL
b2439,yffJ
b2440,eutC
b2441,eutB
b2442,intZ
b2443,yffL
b2444,yffM
b2445,yffN
b2446,yffO
b2447,yffP
b2448,yffQ
b2449,yffR
b2450,yffS
b2451,eutA
b2451,yffT
b2452,eutH
b2452,yffU
b2453,eutG
b2453,yffV
b2454,eutJ
b2454,yffW
b2455,eutE
b2455,yffX
b2456,eutN
b2456,cchB
b2456,yffY
b2457,eutM
b2457,cchA
b2457,yffZ
b2458,eutD
b2458,eutI
b2458,ypfA
b2459,eutT
b2459,ypfB
b2460,eutQ
b2460,ypfC
b2461,eutP
b2461,ypfD
b2462,eutS
b2462,ypfE
b2463,maeB
b2463,ypfF
b2464,talA
b2465,tktB
b2466,ypfG
b2467,nudK
b2467,yffH
b2468,aegA
b2468,yffG
b2469,narQ
b2470,acrD
b2470,yffA
b2471,yffB
b2472,dapE
b2472,msgB
b2473,ypfH
b2474,tmcA
b2474,ypfI
b2475,ypfJ
b2476,purC
b2477,bamC
b2477,dapX
b2477,nlpB
b2478,dapA
b2479,gcvR
b2479,yffD
b2480,bcp
b2481,hyfA
b2481,yffE
b2482,hyfB
b2482,yffF
b2483,hyfC
b2484,hyfD
b2485,hyfE
b2486,hyfF
b2487,hyfG
b2488,hyfH
b2489,hyfI
b2490,hyfJ
b2491,hyfR
b2492,focB
b2493,perM
b2493,yfgO
b2494,bepA
b2494,yfgC
b2495,yfgD
b2496,hda
b2496,idaB
b2496,yfgE
b2497,uraA
b2498,upp
b2498,uraP
b2499,purM
b2499,purG
b2500,purN
b2501,ppk
b2502,ppx
b2503,yfgF
b2504,yfgG
b2505,yfgH
b2506,yfgI
b2507,guaA
b2508,guaB
b2508,guaR
b2509,xseA
b2510,yfgJ
b2511,der
b2511,engA
b2511,yfgK
b2512,bamB
b2512,yfgL
b2513,yfgM
b2514,hisS
b2515,ispG
b2515,gcpE
b2516,rodZ
b2516,yfgA
b2517,rlmN
b2517,yfgB
b2518,ndk
b2519,pbpC
b2519,yfgN
b2520,yfhM
b2521,sseA
b2522,sseB
b2523,pepB
b2523,yfhI
b2524,iscX
b2524,yfhJ
b2525,fdx
b2526,hscA
b2526,hsc
b2527,hscB
b2527,yfhE
b2528,iscA
b2528,yfhF
b2529,iscU
b2529,nifU
b2529,yfhN
b2530,iscS
b2530,nuvC
b2530,yfhO
b2530,yzzO
b2531,iscR
b2531,yfhP
b2532,trmJ
b2532,yfhQ
b2533,suhB
b2533,ssyA
b2534,yfhR
b2535,csiE
b2536,hcaT
b2536,yfhS
b2537,hcaR
b2537,phdR
b2537,yfhT
b2538,hcaE
b2538,digA
b2538,hcaA
b2538,hcaA1
b2538,phdC1
b2538,yfhU
b2539,hcaF
b2539,digB
b2539,hcaA2
b2539,hcaB
b2539,phdC2
b2539,yfhV
b2540,hcaC
b2540,hcaA3
b2540,phdB
b2540,yfhW
b2541,hcaB
b2541,phdD
b2541,yfhX
b2542,hcaD
b2542,hcaA4
b2542,phdA
b2542,yfhY
b2543,yphA
b2544,yphB
b2545,yphC
b2546,yphD
b2547,yphE
b2548,yphF
b2549,yphG
b2550,yphH
b2551,glyA
b2552,hmp
b2552,fsrB
b2552,hmpA
b2553,glnB
b2554,glrR
b2554,yfhA
b2555,yfhG
b2556,glrK
b2556,yfhK
b2557,purL
b2557,purI
b2558,mltF
b2558,yfhD
b2559,tadA
b2559,yfhC
b2560,pgpC
b2560,yfhB
b2561,yfhH
b2562,yfhL
b2563,acpS
b2563,dpj
b2564,pdxJ
b2565,recO
b2566,era
b2566,rbaA
b2566,sdgE
b2567,rnc
b2568,lepB
b2569,lepA
b2570,rseC
b2571,rseB
b2572,rseA
b2572,mclA
b2572,yfiJ
b2573,rpoE
b2573,sigE
b2574,nadB
b2574,nicB
b2575,yfiC
b2576,srmB
b2576,rbaB
b2576,rhlA
b2577,yfiE
b2578,eamB
b2578,yfiK
b2579,grcA
b2579,yfiD
b2580,ung
b2581,yfiF
b2582,trxC
b2582,yfiG
b2583,yfiP
b2584,pka
b2584,patZ
b2584,yfiQ
b2585,pssA
b2585,pss
b2586,yfiM
b2587,kgtP
b2587,witA
b2592,clpB
b2592,htpM
b2593,yfiH
b2594,rluD
b2594,sfhB
b2594,yfiI
b2595,bamD
b2595,yfiO
b2597,raiA
b2597,yfiA
b2598,pheL
b2598,pheAE
b2599,pheA
b2600,tyrA
b2601,aroF
b2602,yfiL
b2603,yfiR
b2604,yfiN
b2605,yfiB
b2606,rplS
b2607,trmD
b2608,rimM
b2608,yfjA
b2609,rpsP
b2610,ffh
b2611,ypjD
b2614,grpE
b2615,nadK
b2615,yfjB
b2615,yfjE
b2616,recN
b2616,radB
b2617,bamE
b2617,smpA
b2618,ratB
b2618,pasI
b2618,yfjF
b2619,ratA
b2619,pasT
b2619,yfjG
b2620,smpB
b2620,smqB
b2622,intA
b2622,intX
b2622,slpA
b2623,yfjH
b2624,alpA
b2624,alp
b2625,yfjI
b2626,yfjJ
b2627,yfjK
b2628,yfjL
b2629,yfjM
b2630,rnlA
b2630,std
b2630,yfjN
b2631,rnlB
b2631,yfjO
b2632,yfjP
b2633,yfjQ
b2634,yfjR
b2635,ypjK
b2636,yfjS
b2637,yfjT
b2638,yfjU
b2641,yfjV
b2641,ypjM
b2642,yfjW
b2643,yfjX
b2644,yfjY
b2645,yfjZ
b2646,ypjF
b2647,ypjA
b2648,pinH
b2649,ypjB
b2650,ypjC
b2659,csiD
b2659,gab
b2659,ygaT
b2660,lhgO
b2660,ygaF
b2661,gabD
b2662,gabT
b2663,gabP
b2664,csiR
b2664,gabC
b2664,ygaE
b2665,ygaU
b2665,yzzM
b2666,yqaE
b2667,ygaV
b2668,ygaP
b2669,stpA
b2669,hnsB
b2670,alaE
b2670,ygaW
b2671,ygaC
b2672,ygaM
b2673,nrdH
b2673,ygaN
b2674,nrdI
b2674,ygaO
b2675,nrdE
b2676,nrdF
b2676,ygaD
b2677,proV
b2678,proW
b2679,proX
b2679,proU
b2681,ygaY
b2682,ygaZ
b2683,ygaH
b2684,mprA
b2684,emrR
b2685,emrA
b2686,emrB
b2687,luxS
b2687,ygaG
b2688,gshA
b2688,gsh-I
b2689,yqaA
b2690,yqaB
b2696,csrA
b2696,zfiA
b2697,alaS
b2697,lovB
b2698,recX
b2698,oraA
b2699,recA
b2699,lexB
b2699,recH
b2699,rnmB
b2699,tif
b2699,umuB
b2699,zab
b2700,pncC
b2700,ygaD
b2701,mltB
b2702,srlA
b2702,gutA
b2702,sbl
b2703,srlE
b2703,gutA
b2703,gutE
b2704,srlB
b2704,gutB
b2705,srlD
b2705,gutD
b2706,gutM
b2706,srlM
b2707,srlR
b2707,gutR
b2708,gutQ
b2708,srlQ
b2709,norR
b2709,ygaA
b2710,norV
b2710,flrD
b2710,ygaI
b2710,ygaJ
b2710,ygaK
b2711,norW
b2711,flrR
b2711,ygbD
b2712,hypF
b2712,hydA
b2713,hydN
b2714,ascG
b2715,ascF
b2716,ascB
b2717,hycI
b2718,hycH
b2718,hevH
b2719,hycG
b2719,hevG
b2720,hycF
b2720,hevF
b2721,hycE
b2721,hevE
b2722,hycD
b2722,hevD
b2723,hycC
b2723,hevC
b2724,hycB
b2724,hevB
b2725,hycA
b2725,hevA
b2726,hypA
b2727,hypB
b2728,hypC
b2729,hypD
b2730,hypE
b2731,fhlA
b2732,ygbA
b2733,mutS
b2733,fdv
b2734,pphB
b2734,prpB
b2734,ygbH
b2735,ygbI
b2736,ygbJ
b2737,ygbK
b2738,ygbL
b2739,ygbM
b2740,ygbN
b2741,rpoS
b2741,appR
b2741,katF
b2741,nur
b2741,otsX
b2741,sigS
b2742,nlpD
b2743,pcm
b2744,surE
b2744,ygbC
b2745,truD
b2745,ygbO
b2746,ispF
b2746,mecS
b2746,ygbB
b2747,ispD
b2747,ygbP
b2748,ftsB
b2748,ygbQ
b2749,ygbE
b2750,cysC
b2751,cysN
b2752,cysD
b2753,iap
b2754,ygbF
b2754,cas2
b2755,ygbT
b2755,cas1
b2756,casE
b2756,cas6e
b2756,ygcH
b2757,casD
b2757,cas5
b2757,ygcI
b2758,casC
b2758,cas4
b2758,cse4
b2758,ygcJ
b2759,casB
b2759,cse2
b2759,ygcK
b2760,casA
b2760,cse1
b2760,ygcL
b2761,ygcB
b2761,cas3
b2762,cysH
b2763,cysI
b2764,cysJ
b2765,queD
b2765,ygcM
b2766,ygcN
b2767,ygcO
b2768,ygcP
b2769,ygcQ
b2770,ygcR
b2771,ygcS
b2774,ygcW
b2775,yqcE
b2775,yqcF
b2776,ygcE
b2777,queE
b2777,ygcF
b2778,ygcG
b2779,eno
b2780,pyrG
b2781,mazG
b2782,mazF
b2782,chpA
b2782,chpAK
b2783,mazE
b2783,chpAI
b2783,chpR
b2784,relA
b2785,rlmD
b2785,rumA
b2785,ygcA
b2786,barA
b2787,gudD
b2787,ygcX
b2788,gudX
b2788,ygcY
b2789,gudP
b2789,ygcZ
b2790,yqcA
b2791,truC
b2791,yqcB
b2792,yqcC
b2793,syd
b2793,ydr
b2794,queF
b2794,yqcD
b2795,ygdH
b2796,sdaC
b2796,dcrA
b2797,sdaB
b2798,ygdG
b2798,exo
b2798,xni
b2799,fucO
b2800,fucA
b2800,fucC
b2800,prd
b2801,fucP
b2802,fucI
b2803,fucK
b2804,fucU
b2805,fucR
b2806,rlmM
b2806,ygdE
b2807,ygdD
b2808,gcvA
b2809,ygdI
b2810,csdA
b2810,ygdJ
b2811,csdE
b2811,ygdK
b2812,tcdA
b2812,csdL
b2812,ygdL
b2813,mltA
b2813,mlt
b2813,ygdM
b2817,amiC
b2817,ygdN
b2818,argA
b2819,recD
b2819,hopE
b2820,recB
b2820,ior
b2820,rorA
b2821,ptrA
b2821,ptr
b2822,recC
b2823,ppdC
b2823,ygdA
b2824,ygdB
b2825,ppdB
b2825,ygdC
b2826,ppdA
b2827,thyA
b2828,lgt
b2828,umpA
b2829,ptsP
b2829,ygdF
b2829,ygdO
b2830,rppH
b2830,nudH
b2830,ygdP
b2831,mutH
b2831,mutR
b2831,prv
b2832,ygdQ
b2833,ygdR
b2834,tas
b2834,ygdS
b2835,lplT
b2835,ygeD
b2836,aas
b2837,galR
b2838,lysA
b2839,lysR
b2840,ygeA
b2841,araE
b2842,kduD
b2842,ygeC
b2842,yqeD
b2843,kduI
b2843,yqeE
b2844,yqeF
b2845,yqeG
b2846,yqeH
b2847,yqeI
b2848,yqeJ
b2849,yqeK
b2850,ygeF
b2851,ygeG
b2852,ygeH
b2853,ygeI
b2854,pbl
b2856,ygeK
b2856,ygeL
b2858,ygeN
b2858,ygeM
b2859,ygeO
b2860,insD4
b2861,insC4
b2862,ygeP
b2863,ygeQ
b2865,ygeR
b2866,xdhA
b2866,ygeS
b2867,xdhB
b2867,ygeT
b2868,xdhC
b2868,ygeU
b2869,ygeV
b2870,ygeW
b2871,ygeX
b2872,ygeY
b2873,hyuA
b2873,ygeZ
b2874,yqeA
b2875,yqeB
b2876,yqeC
b2877,mocA
b2877,ygfJ
b2878,ygfK
b2879,ssnA
b2879,ygfL
b2880,ygfM
b2881,xdhD
b2881,ygfN
b2882,xanQ
b2882,ygfO
b2883,guaD
b2883,ygfP
b2886,ygfS
b2887,ygfT
b2888,uacT
b2888,ygfU
b2889,idi
b2889,ygfV
b2890,lysS
b2890,asuD
b2890,herC
b2891,prfB
b2891,supK
b2892,recJ
b2893,dsbC
b2893,xprA
b2894,xerD
b2894,xprB
b2895,fldB
b2896,cptA
b2896,ygfX
b2897,cptB
b2897,ygfY
b2898,ygfZ
b2898,yzzW
b2899,yqfA
b2900,yqfB
b2901,bglA
b2901,bglD
b2901,yqfC
b2902,ygfF
b2902,yqfD
b2903,gcvP
b2904,gcvH
b2905,gcvT
b2906,ubiI
b2906,visC
b2907,ubiH
b2907,visB
b2908,pepP
b2909,ygfB
b2910,zapA
b2910,ygfE
b2912,ygfA
b2913,serA
b2914,rpiA
b2914,ygfC
b2915,yqfE
b2916,argP
b2916,iciA
b2917,scpA
b2917,sbm
b2917,yliK
b2918,argK
b2918,ygfD
b2919,scpB
b2919,mmcD
b2919,ygfG
b2920,scpC
b2920,ygfH
b2921,ygfI
b2922,yggE
b2923,argO
b2923,yggA
b2924,mscS
b2924,yggB
b2925,fbaA
b2925,fba
b2925,fda
b2926,pgk
b2927,epd
b2927,gapB
b2928,yggC
b2929,yggD
b2930,yggF
b2930,yggK
b2933,cmtA
b2934,cmtB
b2935,tktA
b2935,tkt
b2936,loiP
b2936,yggG
b2937,speB
b2938,speA
b2939,yqgB
b2940,yqgC
b2941,yqgD
b2942,metK
b2942,metX
b2943,galP
b2944,sprT
b2944,yggI
b2945,endA
b2946,rsmE
b2946,yggJ
b2947,gshB
b2947,gsh-II
b2948,yqgE
b2949,yqgF
b2949,ruvX
b2950,yggR
b2951,yggS
b2952,yggT
b2953,yggU
b2954,rdgB
b2954,yggV
b2955,yggW
b2956,yggM
b2957,ansB
b2958,yggN
b2959,yggL
b2960,trmB
b2960,trmI
b2960,yggH
b2961,mutY
b2961,micA
b2962,yggX
b2963,mltC
b2963,yggZ
b2964,nupG
b2965,speC
b2966,yqgA
b2968,yghD
b2968,ecfC
b2969,yghE
b2970,yghF
b2971,yghG
b2972,pppA
b2972,yghH
b2975,glcA
b2975,yghK
b2976,glcB
b2976,glc
b2977,glcG
b2977,yghC
b2979,glcD
b2979,gox
b2979,yghM
b2980,glcC
b2980,yghN
b2981,yghO
b2982,insH9
b2983,yghQ
b2984,yghR
b2985,yghS
b2986,yghT
b2987,pitB
b2988,gss
b2988,gsp
b2989,yghU
b2990,hybG
b2991,hybF
b2992,hybE
b2993,hybD
b2994,hybC
b2995,hybB
b2996,hybA
b2997,hybO
b2997,yghV
b2998,yghW
b3001,gpr
b3001,mgrA
b3001,yghZ
b3002,yqhA
b3003,yghA
b3005,exbD
b3006,exbB
b3008,metC
b3009,yghB
b3010,yqhC
b3011,yqhD
b3012,dkgA
b3012,yqhE
b3013,yqhG
b3013,yqhF
b3014,yqhH
b3017,ftsP
b3017,sufI
b3018,plsC
b3018,parF
b3019,parC
b3020,ygiS
b3021,mqsA
b3021,ygiT
b3022,mqsR
b3022,ygiU
b3023,ygiV
b3024,ygiW
b3025,qseB
b3025,ygiX
b3026,qseC
b3026,ygiY
b3027,ygiZ
b3028,mdaB
b3028,mda66
b3029,ygiN
b3030,parE
b3030,nfxD
b3031,yqiA
b3031,yzzI
b3032,cpdA
b3032,icc
b3033,yqiB
b3033,yzzH
b3034,nudF
b3034,aspP
b3034,yqiE
b3034,yzzG
b3035,tolC
b3035,colE1-i
b3035,mtcB
b3035,mukA
b3035,refI
b3035,toc
b3035,weeA
b3036,ygiA
b3037,ygiB
b3038,ygiC
b3039,ygiD
b3040,zupT
b3040,ygiE
b3041,ribB
b3041,htrP
b3042,yqiC
b3043,ygiL
b3044,insC5
b3045,insD5
b3046,yqiG
b3047,yqiH
b3048,yqiI
b3049,glgS
b3049,scoR
b3050,yqiJ
b3051,yqiK
b3052,hldE
b3052,rfaE
b3052,waaE
b3052,yqiF
b3053,glnE
b3054,ygiF
b3055,ygiM
b3056,cca
b3057,uppP
b3057,bacA
b3057,upk
b3058,folB
b3058,ygiG
b3059,plsY
b3059,ygiH
b3060,ttdR
b3060,ygiP
b3061,ttdA
b3061,ygjA
b3062,ttdB
b3062,ygjB
b3063,ttdT
b3063,ygjC
b3063,ygjE
b3064,tsaD
b3064,gcp
b3064,ygjD
b3065,rpsU
b3066,dnaG
b3066,dnaP
b3066,parB
b3067,rpoD
b3067,alt
b3068,mug
b3068,ygjF
b3070,yqjH
b3071,yqjI
b3072,aer
b3072,air
b3072,yqjJ
b3073,patA
b3073,ygjG
b3074,ygjH
b3075,ebgR
b3076,ebgA
b3077,ebgC
b3078,ygjI
b3079,ygjJ
b3080,ygjK
b3081,fadH
b3081,ygjL
b3082,higA
b3082,ygjM
b3083,higB
b3083,ygjN
b3084,rlmG
b3084,ygjO
b3085,ygjP
b3086,ygjQ
b3087,ygjR
b3088,alx
b3088,ygjT
b3089,sstT
b3089,ygjU
b3090,ygjV
b3091,uxaA
b3091,ygjW
b3092,uxaC
b3092,ygjX
b3092,ygjY
b3092,ygjZ
b3093,exuT
b3094,exuR
b3095,yqjA
b3096,mzrA
b3096,ecfM
b3096,yqjB
b3097,yqjC
b3098,yqjD
b3099,yqjE
b3100,yqjK
b3101,yqjF
b3102,yqjG
b3103,yhaH
b3104,yhaI
b3105,yhaJ
b3106,yhaK
b3107,yhaL
b3110,yhaO
b3113,tdcF
b3113,yhaR
b3114,tdcE
b3114,yhaS
b3115,tdcD
b3115,yhaA
b3116,tdcC
b3117,tdcB
b3118,tdcA
b3119,tdcR
b3120,yhaB
b3121,yhaC
b3124,garK
b3124,yhaD
b3125,garR
b3125,yhaE
b3126,garL
b3126,yhaF
b3127,garP
b3127,yhaU
b3128,garD
b3128,yhaG
b3129,prlF
b3129,sohA
b3130,yhaV
b3131,agaR
b3131,yhaW
b3132,kbaZ
b3132,agaZ
b3132,yhaX
b3133,agaV
b3133,yhaY
b3134,agaW
b3135,agaA
b3136,agaS
b3136,yraB
b3137,kbaY
b3137,agaY
b3137,kba
b3137,yraC
b3138,agaB
b3138,yraD
b3139,agaC
b3139,yraE
b3140,agaD
b3140,yraF
b3141,agaI
b3141,yraG
b3142,yraH
b3143,yraI
b3144,yraJ
b3145,yraK
b3146,rsmI
b3146,yraL
b3147,lpoA
b3147,yraM
b3148,yraN
b3149,diaA
b3149,yraO
b3150,yraP
b3151,yraQ
b3152,yraR
b3153,yhbO
b3154,yhbP
b3155,yhbQ
b3156,yhbS
b3157,yhbT
b3158,yhbU
b3159,yhbV
b3160,yhbW
b3161,mtr
b3162,deaD
b3162,csdA
b3162,mssB
b3162,rhlD
b3163,nlpI
b3163,yhbM
b3164,pnp
b3165,rpsO
b3165,secC
b3166,truB
b3166,yhbA
b3167,rbfA
b3167,P15B
b3167,yhbB
b3168,infB
b3168,gicD
b3168,ssyG
b3169,nusA
b3170,rimP
b3170,yhbC
b3172,argG
b3173,yhbX
b3175,secG
b3176,glmM
b3176,mrsA
b3176,yhbF
b3177,folP
b3177,dhpS
b3178,ftsH
b3178,hflB
b3178,mrsC
b3178,std
b3178,tolZ
b3179,rlmE
b3179,ftsJ
b3179,mrsF
b3179,rrmJ
b3180,yhbY
b3181,greA
b3182,dacB
b3183,obgE
b3183,cgtA
b3183,obg
b3183,yhbZ
b3184,yhbE
b3185,rpmA
b3186,rplU
b3187,ispB
b3187,cel
b3187,yhbD
b3188,sfsB
b3188,nlp
b3188,sfs7
b3189,murA
b3189,murZ
b3190,ibaG
b3190,yrbA
b3191,mlaB
b3191,yrbB
b3192,mlaC
b3192,yrbC
b3193,mlaD
b3193,yrbD
b3194,mlaE
b3194,yrbE
b3195,mlaF
b3195,yrbF
b3196,yrbG
b3197,kdsD
b3197,yrbH
b3198,kdsC
b3198,yrbI
b3198,yrbJ
b3199,lptC
b3199,yrbK
b3200,lptA
b3200,yhbN
b3201,lptB
b3201,yhbG
b3202,rpoN
b3202,glnF
b3202,ntrA
b3203,hpf
b3203,yhbH
b3204,ptsN
b3204,rpoP
b3204,yhbI
b3205,rapZ
b3205,yhbJ
b3206,ptsO
b3206,npr
b3206,rpoR
b3206,yhbK
b3207,yrbL
b3208,mtgA
b3208,yrbM
b3209,elbB
b3209,elb2
b3209,yzzB
b3210,arcB
b3211,yhcC
b3212,gltB
b3212,aspB
b3213,gltD
b3213,aspB
b3214,gltF
b3215,yhcA
b3216,yhcD
b3218,insH10
b3219,yhcF
b3220,yhcG
b3221,yhcH
b3222,nanK
b3222,yhcI
b3223,nanE
b3223,yhcJ
b3224,nanT
b3225,nanA
b3225,npl
b3226,nanR
b3226,yhcK
b3227,dcuD
b3227,yhcL
b3228,sspB
b3229,sspA
b3229,pog
b3229,ssp
b3230,rpsI
b3231,rplM
b3232,zapE
b3232,yhcM
b3233,yhcB
b3234,degQ
b3234,hhoA
b3235,degS
b3235,hhoB
b3235,htrH
b3236,mdh
b3237,argR
b3237,xerA
b3238,yhcN
b3239,yhcO
b3240,aaeB
b3240,yhcP
b3241,aaeA
b3241,yhcQ
b3242,aaeX
b3242,yhcR
b3243,aaeR
b3243,yhcS
b3244,tldD
b3244,yhdO
b3247,rng
b3247,cafA
b3247,yhdF
b3248,yhdE
b3249,mreD
b3250,mreC
b3251,mreB
b3251,envB
b3251,rodY
b3252,csrD
b3252,yhdA
b3253,acuI
b3253,yhdH
b3255,accB
b3255,fabE
b3256,accC
b3256,fabG
b3257,yhdT
b3258,panF
b3259,prmA
b3259,yhdI
b3260,dusB
b3260,yhdG
b3261,fis
b3262,yhdJ
b3263,yhdU
b3264,envR
b3264,yhdK
b3265,acrE
b3265,envC
b3266,acrF
b3266,envD
b3267,yhdV
b3268,yhdW
b3269,yhdX
b3270,yhdY
b3271,yhdZ
b3279,yrdA
b3280,yrdB
b3281,aroE
b3282,tsaC
b3282,rimN
b3282,yrdC
b3283,yrdD
b3284,smg
b3287,def
b3287,fms
b3288,fmt
b3288,yhdD
b3289,rsmB
b3289,fmu/fmv
b3289,rrmB
b3289,sun
b3289,yhdB
b3290,trkA
b3291,mscL
b3291,yhdC
b3292,zntR
b3292,yhdM
b3293,yhdN
b3294,rplQ
b3295,rpoA
b3295,pez
b3295,phs
b3295,sez
b3296,rpsD
b3296,ramA
b3297,rpsK
b3298,rpsM
b3299,rpmJ
b3300,secY
b3300,prlA
b3301,rplO
b3302,rpmD
b3303,rpsE
b3303,spc
b3304,rplR
b3305,rplF
b3306,rpsH
b3307,rpsN
b3308,rplE
b3309,rplX
b3310,rplN
b3311,rpsQ
b3311,neaA
b3312,rpmC
b3313,rplP
b3314,rpsC
b3315,rplV
b3315,eryB
b3316,rpsS
b3317,rplB
b3318,rplW
b3319,rplD
b3319,eryA
b3320,rplC
b3321,rpsJ
b3321,nusE
b3322,gspB
b3322,pinO
b3322,pioO
b3322,pno
b3323,gspA
b3323,yheD
b3324,gspC
b3324,yheE
b3325,gspD
b3325,yheF
b3326,gspE
b3326,yheG
b3327,gspF
b3327,hofF
b3327,hopF
b3328,gspG
b3328,hofG
b3328,hopG
b3329,gspH
b3329,hofH
b3329,hopH
b3330,gspI
b3330,yheH
b3331,gspJ
b3331,yheI
b3332,gspK
b3332,yheJ
b3333,gspL
b3333,yheK
b3334,gspM
b3334,hopZ
b3334,pshM
b3335,gspO
b3335,hofD
b3335,hopD
b3335,hopO
b3335,yheC
b3336,bfr
b3337,bfd
b3337,yheA
b3338,chiA
b3338,yheB
b3339,tufA
b3340,fusA
b3340,far
b3340,fus
b3341,rpsG
b3342,rpsL
b3342,strA
b3343,tusB
b3343,yheL
b3344,tusC
b3344,yheM
b3345,tusD
b3345,yheN
b3346,yheO
b3347,fkpA
b3347,yzzS
b3348,slyX
b3349,slyD
b3350,kefB
b3350,trkB
b3351,kefG
b3351,yheR
b3352,yheS
b3353,yheT
b3354,yheU
b3355,prkB
b3355,yhfF
b3356,yhfA
b3357,crp
b3357,cap
b3357,csm
b3358,yhfK
b3359,argD
b3359,dapC
