bnumber,E14R012a01,E14R012a02,E14R012a03,E14R012a04,E14R012a05,E14R012a06,E14R012b01,E14R012b02,E14R012b03,E14R012b04,E14R012b05,E14R012b06,E14R012c01,E14R012c02,E14R012c03,E14R012c04,E14R012c05,E14R012c06
b1950,0.050955414012738856,0.025477707006369428,0.02802547770700637,0.03949044585987261,0.022929936305732482,0.02420382165605096,0.01910828025477707,0.011464968152866241,0.02802547770700637,0.0267515923566879,0.03184713375796178,0.04076433121019108,0.02038216560509554,0.06496815286624204,0.06878980891719745,0.04585987261146497,0.029299363057324838,0.02802547770700637
b1951,0.07223113964686999,0.03210272873194221,0.048154093097913325,0.04333868378812199,0.030497592295345106,0.019261637239165328,0.04173354735152488,0.02247191011235955,0.0449438202247191,0.04012841091492777,0.07704654895666131,0.09149277688603533,0.02568218298555377,0.04975922953451043,0.06902086677367576,0.05617977528089888,0.04012841091492777,0.033707865168539325
b1952,0.1914893617021277,0.15425531914893614,0.14893617021276595,0.1914893617021277,0.03723404255319149,0.15425531914893614,0.1276595744680851,0.05319148936170213,0.10638297872340426,0.18085106382978725,0.2393617021276596,0.425531914893617,0.11170212765957446,0.2127659574468085,0.2819148936170213,0.40425531914893614,0.13297872340425532,0.2553191489361702
b1953,0.6343612334801763,0.5066079295154186,0.4757709251101322,0.7797356828193832,0.4405286343612335,0.28634361233480177,0.2555066079295154,0.3171806167400881,0.5726872246696035,0.6696035242290749,0.9559471365638766,1.4449339207048455,0.16299559471365638,0.7400881057268722,1.0748898678414096,0.8590308370044053,0.6255506607929515,0.8854625550660793
b1955,0.403680981595092,0.30552147239263805,0.3460122699386503,0.5202453987730061,0.3104294478527607,0.2846625766871166,0.2662576687116565,0.2134969325153374,0.3656441717791411,0.44907975460122707,0.6613496932515337,0.7533742331288343,0.1325153374233129,0.5067484662576687,0.6613496932515337,0.6024539877300613,0.33496932515337424,0.4760736196319018
b1956,0.19657615112160567,0.1446280991735537,0.14167650531286896,0.17650531286894924,0.07910271546635184,0.11747343565525385,0.09268004722550176,0.0808736717827627,0.16942148760330578,0.17355371900826447,0.17886658795749705,0.2544273907910272,0.05548996458087367,0.2373081463990555,0.28630460448642264,0.22018890200708385,0.11038961038961037,0.1357733175914994
b1957,0.2692307692307692,0.21428571428571427,0.2967032967032967,0.3791208791208791,0.1813186813186813,0.14285714285714285,0.17582417582417584,0.07142857142857142,0.21978021978021975,0.3461538461538461,0.4230769230769231,0.4505494505494506,0.04945054945054945,0.35714285714285715,0.8351648351648352,0.3406593406593407,0.0989010989010989,0.29120879120879123
b1958,0.20283533260632494,0.15703380588876772,0.1668484187568157,0.2519083969465649,0.11232279171210467,0.08505997818974917,0.12649945474372956,0.10032715376226826,0.23773173391493999,0.18647764449291168,0.24318429661941116,0.3053435114503817,0.06761177753544166,0.2758996728462377,0.4133042529989095,0.29334787350054525,0.12213740458015268,0.1777535441657579
b1959,0.04891304347826087,0.015217391304347828,0.02934782608695652,0.0391304347826087,0.015217391304347828,0.017391304347826087,0.02717391304347826,0.011956521739130435,0.033695652173913036,0.02282608695652174,0.02934782608695652,0.06847826086956521,0.013043478260869565,0.04565217391304348,0.040217391304347816,0.034782608695652174,0.021739130434782608,0.021739130434782608
b1960,0.13191489361702127,0.11702127659574467,0.1127659574468085,0.15106382978723404,0.08936170212765958,0.11702127659574467,0.0574468085106383,0.0851063829787234,0.17659574468085107,0.14893617021276595,0.20638297872340425,0.16595744680851066,0.05106382978723404,0.1425531914893617,0.2297872340425532,0.13404255319148936,0.08723404255319149,0.11063829787234042
b1961,0.5634696755994358,0.4153737658674189,0.42736248236953456,0.5916784203102962,0.31734837799717913,0.3229901269393512,0.3286318758815233,0.3011283497884344,0.5592383638928068,0.4880112834978844,0.5952045133991537,0.6544428772919605,0.152327221438646,0.6311706629055007,0.9922425952045134,0.6600846262341326,0.3124118476727786,0.38011283497884346
b1962,0.9093525179856116,0.7237410071942446,0.8129496402877698,1.0992805755395685,0.5827338129496403,0.6100719424460431,0.5079136690647482,0.4906474820143885,1.037410071942446,1.0503597122302155,1.1812949640287769,1.428776978417266,0.2949640287769784,1.2100719424460429,1.7841726618705036,1.4532374100719423,0.6172661870503597,0.818705035971223
b1963,0.6164383561643836,0.4986301369863014,0.5397260273972603,0.9835616438356164,0.410958904109589,0.4383561643835616,0.4383561643835616,0.3479452054794521,0.8328767123287671,0.8164383561643835,1.021917808219178,1.227397260273973,0.2,0.9150684931506852,1.336986301369863,1.1123287671232878,0.4931506849315068,0.6164383561643836
b1967,0.7309048178613397,0.5969447708578144,0.6004700352526441,1.008225616921269,0.4582843713278496,0.4277320799059929,0.4265569917743831,0.3607520564042303,0.8343125734430082,0.8754406580493537,1.3102232667450058,2.3501762632197414,0.19741480611045828,0.7485311398354877,1.1527614571092832,0.9811985898942421,0.5146886016451234,1.0893066980023502
b1968,0.09057437407952873,0.04933726067746686,0.05670103092783505,0.08026509572901326,0.05375552282768778,0.04639175257731959,0.04786450662739323,0.035346097201767304,0.07658321060382918,0.07216494845360824,0.09572901325478646,0.14138438880706922,0.027245949926362298,0.08836524300441828,0.12739322533136965,0.09720176730486008,0.050073637702503684,0.06406480117820322
b1969,0.12667660208643816,0.09090909090909093,0.11922503725782416,0.17585692995529062,0.13263785394932934,0.11028315946348734,0.10432190760059612,0.07898658718330849,0.15648286140089418,0.16989567809239942,0.19821162444113266,0.30104321907600595,0.05216095380029806,0.21311475409836064,0.2459016393442623,0.27421758569299554,0.12816691505216096,0.14456035767511174
b1970,0.031476997578692496,0.004842615012106539,0.01694915254237288,0.0387409200968523,0.014527845036319613,0.021791767554479417,0.01694915254237288,0.007263922518159807,0.021791767554479417,0.024213075060532687,0.021791767554479417,0.07506053268765134,0.007263922518159807,0.03389830508474576,0.04116222760290557,0.05811138014527845,0.0387409200968523,0.03389830508474576
b1971,0.14143426294820718,0.09262948207171316,0.09760956175298804,0.1593625498007968,0.06772908366533864,0.07071713147410359,0.053784860557768925,0.07470119521912351,0.09362549800796813,0.10657370517928287,0.1294820717131474,0.17430278884462153,0.0348605577689243,0.12749003984063745,0.15637450199203187,0.17330677290836655,0.09262948207171316,0.13346613545816732
b1972,0.08661417322834647,0.044094488188976384,0.05826771653543308,0.08503937007874016,0.05669291338582678,0.053543307086614166,0.03779527559055118,0.031496062992125984,0.059842519685039376,0.08031496062992126,0.07401574803149606,0.11496062992125985,0.02047244094488189,0.08661417322834647,0.08818897637795275,0.08188976377952756,0.047244094488188976,0.06299212598425198
