	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b3116	4	20	8	15	6	14	9	10	9
b3117	0	2	0	1	1	0	1	1	2
b3118	3	0	0	0	0	1	1	1	0
b3119	0	0	0	0	0	0	0	0	0
b3120	0	3	0	1	0	0	0	4	1
b3121	1	2	0	0	1	1	3	1	0
b3123	2565	2224	2824	1428	2146	1181	591	1357	2335
b3124	8	3	5	4	9	6	3	3	4
b3125	7	12	11	5	15	9	6	7	10
b3126	3	3	3	2	3	1	3	0	2
b3127	1	4	0	2	0	3	3	2	0
b3128	3	11	7	8	5	6	6	2	2
b3129	37	35	31	45	37	34	38	25	33
b3130	28	30	28	33	24	19	43	17	29
b3131	46	51	46	57	63	63	60	29	53
b3132	4	2	1	1	2	0	2	1	3
b3133	0	2	0	1	2	1	3	1	2
b3134	0	0	2	1	1	0	0	0	0
b3135	0	1	1	0	4	2	1	1	2
b3136	4	0	0	1	1	4	2	2	4
b3137	0	1	1	2	0	2	5	0	0
b3138	0	2	1	0	0	1	5	1	1
b3139	2	1	2	1	0	0	2	1	1
b3140	2	4	5	1	3	6	2	4	0
b3141	2	5	2	2	4	2	5	3	4
b3142	1	9	3	3	1	9	8	4	5
b3143	1	4	3	0	1	0	8	3	0
b3144	31	29	28	26	35	33	27	22	19
b3145	7	7	8	2	6	6	9	5	9
b3146	23	20	26	27	24	31	22	10	22
b3147	62	95	101	94	85	92	85	70	130
b3148	16	11	17	14	13	9	8	11	19
b3149	52	53	61	47	68	63	48	36	45
b3150	40	48	59	32	41	42	34	26	49
b3151	7	9	12	2	3	5	2	4	4
b3152	1	8	10	4	1	1	9	5	4
b3153	23	13	19	10	13	3	12	14	7
b3154	10	3	9	12	10	8	7	9	10
b3155	13	10	6	12	6	8	7	6	7
b3156	31	29	28	40	33	31	18	17	31
b3157	41	46	40	71	60	66	62	32	60
b3158	2	3	1	0	2	3	1	0	2
b3159	0	5	1	1	0	5	1	1	4
b3160	33	38	52	21	29	23	24	26	29
b3161	50	24	32	141	54	150	140	35	43
b3162	73	91	112	193	203	186	183	59	200
b3163	220	203	214	334	334	277	350	138	326
b3164	644	569	742	654	800	649	499	473	869
b3165	228	270	315	326	314	250	418	253	276
b3166	50	79	87	77	76	60	50	43	70
b3167	41	34	42	30	43	29	26	22	56
b3168	432	564	645	437	598	436	355	317	639
b3169	264	298	362	291	360	261	232	156	433
b3170	74	92	90	85	99	82	99	40	119
b3171	19	14	14	27	20	14	16	10	26
b3172	336	260	229	87	186	123	111	184	220
b3173	9	12	7	9	3	7	7	4	7
b3174	2	1	2	3	1	2	2	5	2
b3175	122	113	168	121	179	144	150	83	179
b3176	107	126	162	127	176	139	105	94	167
b3177	32	31	25	27	25	30	14	13	26
b3178	630	637	809	907	1046	842	856	435	958
b3179	154	160	168	245	269	240	274	135	214
b3180	102	104	138	146	163	108	149	84	141
b3181	31	30	41	60	47	50	46	20	46
b3182	14	25	22	12	16	19	9	7	17
b3183	39	39	48	33	45	45	38	29	56
b3184	21	20	25	23	28	20	17	11	35
b3185	370	336	468	400	474	299	456	246	471
b3186	604	618	775	705	803	597	886	414	799
b3187	111	114	127	134	131	129	91	78	121
b3188	3	3	6	12	11	2	10	4	8
b3189	130	204	225	125	200	148	146	111	215
b3190	32	48	59	40	51	35	63	43	58
b3191	35	27	37	23	38	17	29	21	38
b3192	115	128	131	99	140	93	104	71	139
b3193	36	43	46	49	42	38	36	28	44
b3194	22	24	25	16	24	13	12	9	23
b3195	47	58	68	39	61	52	43	44	54
b3196	23	22	26	25	27	18	27	12	21
b3197	45	57	65	47	61	64	44	41	66
b3198	37	45	44	56	71	57	44	36	58
b3199	67	62	57	59	73	79	105	60	70
b3200	95	92	101	108	115	101	102	61	125
b3201	89	80	106	85	92	78	53	54	113
b3202	373	365	364	455	500	404	495	284	403
b3203	250	218	193	259	249	226	257	158	222
b3204	128	128	120	147	138	122	92	106	159
b3205	128	154	154	143	128	133	124	98	132
b3206	7	11	15	12	7	8	7	2	7
b3207	551	543	474	480	415	316	375	370	311
b3208	83	86	80	91	80	60	67	64	59
b3209	31	56	51	25	54	39	40	30	54
b3210	104	96	123	102	100	102	115	89	139
b3211	1	2	2	1	1	1	4	2	1
b3212	564	579	814	385	464	458	265	305	629
b3213	324	271	444	208	243	195	137	138	284
b3214	7	8	24	8	22	13	8	4	12
b3215	0	2	2	1	2	1	4	2	1
b3216	10	16	17	15	26	16	17	12	14
b3218	19	17	28	24	26	19	19	15	24
b3219	12	12	14	19	21	15	19	10	8
b3220	2	7	6	11	9	4	7	8	7
b3221	7	12	9	11	11	5	11	3	9
b3222	7	12	13	2	3	2	3	4	5
b3223	3	5	2	5	0	1	1	1	1
b3224	1	6	0	3	4	5	2	1	3
b3225	6	5	3	3	3	3	3	3	3
b3226	48	48	52	54	63	54	74	41	45
b3227	3	5	6	3	4	3	4	7	1
b3228	55	61	68	64	71	46	62	41	88
b3229	156	157	186	135	185	159	185	127	216
b3230	410	524	673	457	619	440	547	359	588
b3231	473	609	760	592	807	555	705	433	800
b3232	34	28	46	51	48	34	38	18	34
b3233	176	101	173	189	201	162	155	99	183
b3234	75	66	89	93	87	62	99	47	76
b3235	24	46	34	34	39	29	31	18	53
b3236	977	981	1334	1195	1785	1210	1037	609	1288
b3237	52	73	49	58	93	82	122	72	79
b3238	13	8	14	17	23	13	36	5	12
b3239	29	14	19	15	20	11	21	12	20
b3240	3	10	8	5	8	8	6	7	2
b3241	5	5	7	12	3	9	5	5	9
b3242	3	10	2	6	4	5	13	5	3
b3243	31	45	39	28	37	25	41	26	34
b3244	111	88	106	125	111	110	88	53	106
b3247	96	97	112	89	121	93	72	58	107
b3248	21	23	23	30	34	26	24	15	28
b3249	19	12	17	14	18	17	21	8	17
b3250	22	31	31	22	24	27	21	12	33
b3251	177	202	251	198	235	217	220	111	270
b3252	76	77	69	57	84	51	55	45	41
b3253	38	36	52	42	57	37	32	30	35
b3255	137	139	195	114	185	163	113	78	168
b3256	287	300	359	247	339	277	238	157	378
b3257	1	1	2	2	2	1	1	0	1
b3258	11	12	18	12	11	10	11	3	13
b3259	32	33	29	44	52	29	31	20	37
b3260	155	177	208	168	205	159	122	140	198
b3261	84	50	71	56	87	50	61	59	87
b3262	2	4	5	3	4	3	5	2	1
b3263	1	2	1	1	2	3	3	0	1
b3264	0	2	0	0	1	2	0	1	0
b3265	0	2	2	0	0	3	4	1	2
b3266	20	11	10	17	17	13	23	22	16
b3267	0	2	1	1	1	3	4	1	2
b3268	7	8	21	12	12	13	16	11	3
b3269	3	3	4	6	7	10	6	5	6
b3270	1	2	2	1	3	4	1	2	2
b3271	4	7	11	1	5	6	6	6	0
b3272	5	13	2	22	5	3	2	10	3
b3273	0	0	1	0	0	0	0	1	0
b3274	3	33	10	20	3	1	3	6	6
b3275	288	2187	397	628	304	241	100	470	542
b3276	5	2	6	3	4	2	2	4	4
b3277	25	15	17	10	13	16	8	10	20
b3278	134	1044	192	256	139	105	59	243	291
b3279	47	49	92	77	107	94	68	54	86
b3280	17	25	20	34	49	28	30	15	28
b3281	36	53	48	52	59	57	61	31	34
b3282	57	49	49	91	35	63	58	28	43
b3283	96	83	96	128	112	96	104	77	87
b3284	152	126	133	237	254	189	208	128	149
b3287	133	135	126	152	177	117	246	123	156
b3288	109	135	158	123	179	146	158	108	164
b3289	80	96	108	67	83	55	66	60	81
b3290	94	79	83	61	94	46	72	55	85
b3291	180	129	135	211	197	139	261	96	155
b3292	23	28	11	34	30	16	27	17	24
b3293	21	21	19	26	37	25	42	26	29
b3294	448	508	646	389	493	344	339	318	598
b3295	1956	2346	2705	1759	2730	1747	1662	1459	2796
b3296	1399	1808	1969	1494	2260	1464	1532	1116	2209
b3297	985	1231	1312	1061	1477	1067	1095	736	1404
b3298	941	1196	1221	1003	1459	1090	1137	703	1319
b3299	407	408	524	396	577	464	514	298	581
b3300	2371	2384	3184	2152	3172	2204	2450	1802	3240
b3301	670	731	956	666	994	617	788	551	999
b3302	290	299	373	294	369	289	332	233	429
b3303	805	1048	1276	924	1335	925	983	704	1350
b3304	618	689	826	638	854	645	701	465	903
b3305	868	946	1155	955	1258	942	1025	759	1341
b3306	536	639	779	587	757	605	637	442	852
b3307	684	863	973	817	1121	788	820	583	1051
b3308	1466	1599	1830	1861	2250	1598	1920	1283	2119
b3309	727	769	854	970	1017	808	927	599	1052
b3310	1044	1059	1250	1288	1373	1042	1110	759	1406
b3311	470	426	576	504	607	423	514	363	659
b3312	348	361	480	413	547	360	460	290	527
b3313	737	861	1171	916	1201	815	928	720	1196
b3314	1315	1622	1910	1624	1957	1521	1598	1262	1971
b3315	630	749	883	770	1019	849	842	641	965
b3316	493	534	701	593	784	565	642	505	751
b3317	1040	1299	1715	1292	1858	1151	1370	945	1836
b3318	478	580	744	586	828	567	630	426	821
b3319	903	1195	1337	1088	1637	1042	1214	874	1483
b3320	1078	1307	1541	1286	1836	1298	1303	973	1708
b3321	395	479	573	533	676	508	567	378	638
b3322	5	3	2	2	3	6	7	2	8
b3323	6	14	3	5	3	5	6	8	9
b3324	22	9	14	2	2	2	4	5	5
b3325	49	22	30	10	4	10	9	18	7
b3326	20	8	13	5	8	3	5	8	2
b3327	8	6	5	8	8	8	6	11	5
b3328	7	1	2	0	3	0	1	3	1
b3329	2	2	0	0	0	0	2	0	1
b3330	1	1	1	0	0	0	1	0	1
b3331	3	2	0	0	2	0	0	1	1
b3332	2	4	5	3	7	1	2	3	4
b3333	8	8	6	19	8	12	10	8	8
b3334	3	2	2	7	3	3	2	3	4
b3335	12	25	10	20	16	12	20	11	13
b3336	59	66	42	79	85	65	97	42	80
b3337	102	85	106	144	153	131	211	85	119
b3338	11	28	25	33	40	31	25	15	30
b3339	3976	4675	6108	4234	5189	4496	3727	3176	5576
b3340	4835	5549	7036	5121	6156	4756	4646	3906	6322
b3341	1080	1272	1451	1202	1460	1049	1171	832	1459
b3342	1038	1204	1358	1234	1468	1119	1128	849	1404
b3343	15	19	22	20	22	15	20	13	20
b3344	7	13	12	9	17	10	8	11	13
b3345	20	27	29	28	40	24	24	12	33
b3346	76	97	115	128	144	139	140	72	95
b3347	279	221	320	284	389	332	279	172	314
b3348	6	5	10	11	8	10	13	9	9
b3349	430	363	500	360	408	307	343	244	467
b3350	31	18	27	19	15	25	18	16	22
b3351	8	5	9	4	11	12	6	5	10
b3352	43	68	65	50	68	74	42	44	57
b3353	12	19	11	18	16	21	14	6	22
b3354	14	15	17	17	25	31	21	8	17
b3355	60	35	58	76	64	81	64	31	71
b3356	80	70	51	86	90	73	88	46	73
b3357	453	355	489	505	649	496	561	248	535
b3358	41	39	59	34	40	37	31	16	50
b3359	65	55	46	17	36	23	42	45	27
b3360	12	10	13	5	5	5	7	6	5
b3361	57	40	39	26	32	21	28	29	32
b3362	19	14	27	13	23	11	17	22	26
b3363	42	30	64	88	93	58	84	38	60
b3364	39	43	41	73	38	48	78	29	35
b3365	14	10	12	8	8	8	12	3	4
b3366	1	2	0	1	0	0	0	0	1
b3367	2	3	6	3	5	1	8	1	5
b3368	33	31	21	32	36	33	35	12	38
b3369	0	0	0	1	1	0	6	3	1
b3370	0	4	0	0	2	1	4	3	1
b3371	1	2	0	0	4	1	5	0	1
b3374	2	4	1	2	6	2	3	3	1
b3375	18	27	28	27	16	19	25	16	22
b3376	1	0	1	2	2	3	5	0	1
b3377	5	8	2	2	2	3	7	3	1
b3378	3	3	2	5	5	6	8	3	2
b3379	2	5	1	1	3	1	0	2	2
b3380	1	2	0	2	0	2	3	0	1
b3381	1	4	2	0	2	0	1	1	0
b3382	1	0	3	0	2	2	2	0	0
b3383	7	4	9	1	7	2	6	1	2
b3384	157	195	208	179	204	203	143	105	169
b3385	64	73	76	48	64	55	60	33	67
b3386	64	67	89	72	56	62	54	47	63
b3387	86	93	69	86	98	84	90	49	93
b3388	234	206	267	161	248	193	141	161	255
b3389	188	174	203	161	218	167	191	135	208
b3390	141	146	140	148	214	184	229	118	184
b3391	0	8	3	0	3	1	1	2	2
b3392	0	0	0	2	0	0	0	0	0
b3393	0	3	1	1	0	1	0	0	0
b3394	1	1	1	0	0	3	0	1	0
b3395	2	2	5	2	3	1	2	4	3
b3396	33	34	44	32	40	34	40	20	30
b3397	99	79	105	177	116	111	133	76	126
b3398	37	41	59	61	73	64	53	35	48
b3399	38	34	18	21	35	32	32	24	22
b3400	10	22	24	20	18	12	14	10	19
b3401	31	68	58	39	40	36	29	25	45
b3402	14	15	15	18	11	18	19	18	20
b3403	66	63	79	72	123	84	88	35	124
b3404	8	18	17	9	15	13	9	12	15
b3405	42	43	75	34	44	51	33	32	48
b3406	17	14	9	9	14	13	12	9	11
b3407	52	48	53	42	56	52	32	34	63
b3408	9	17	16	17	18	21	23	3	23
b3409	60	88	93	67	135	89	67	50	94
b3410	4	3	8	2	5	4	3	5	10
b3411	6	9	16	16	6	8	7	3	7
b3412	9	16	19	16	23	19	9	12	17
b3413	15	17	18	9	24	23	25	9	28
b3414	177	206	201	206	320	174	299	169	293
b3415	30	43	41	47	54	40	98	26	41
b3416	35	40	48	32	52	33	23	13	50
b3417	71	87	132	73	117	101	51	43	110
b3418	124	138	220	148	165	127	95	69	171
b3421	10	14	13	10	14	9	6	4	4
b3422	5	8	2	7	5	3	7	5	6
b3423	26	29	31	19	34	30	12	17	23
b3424	21	25	41	17	26	22	31	13	32
b3425	30	16	21	40	34	29	41	22	35
b3426	20	16	10	8	20	14	7	12	12
b3427	4	3	2	1	2	1	4	2	4
b3428	922	680	631	368	451	331	330	414	412
b3429	366	239	258	135	173	121	108	165	199
b3430	423	304	321	181	222	158	132	212	211
b3431	380	249	240	157	233	178	135	205	154
b3432	632	504	482	299	348	296	239	384	241
b3433	2076	1027	1408	431	646	547	391	708	534
b3434	2	7	2	14	6	11	15	5	7
b3437	5	11	6	11	6	15	26	8	7
b3438	28	47	33	41	58	48	49	33	43
b3439	29	19	22	25	27	23	32	24	26
b3440	156	120	148	127	128	108	85	77	135
b3441	7	4	9	5	3	3	3	2	6
b3442	0	1	1	0	0	1	5	0	0
b3443	1	0	0	0	0	0	1	2	0
b3444	1	1	0	1	2	3	5	0	2
b3445	12	19	20	34	25	20	28	26	29
b3446	2	3	1	0	1	0	3	0	3
b3447	121	108	121	88	86	61	48	69	98
b3448	58	45	40	38	33	28	51	47	32
b3449	15	22	21	16	21	13	13	17	19
b3450	9	12	3	6	7	9	3	6	13
b3451	0	8	6	5	4	3	2	3	7
b3452	6	5	4	2	5	2	2	2	7
b3453	81	83	112	72	79	61	52	53	82
b3454	29	39	58	39	43	39	29	22	53
b3455	41	58	61	35	71	52	21	22	70
b3456	33	36	36	32	50	33	22	20	46
b3457	12	16	28	31	25	20	8	10	30
b3458	84	143	186	131	181	181	106	69	195
b3459	5	11	8	4	4	7	3	1	7
b3460	959	756	1419	784	803	648	306	377	862
b3461	226	193	221	220	252	195	199	153	237
b3462	53	41	52	55	55	57	48	31	58
b3463	27	33	25	35	28	29	24	20	22
b3464	70	70	81	75	96	103	98	51	93
b3465	15	13	14	20	30	24	26	10	20
b3466	9	10	6	14	15	16	12	4	10
b3467	27	11	22	33	29	21	30	9	22
b3468	24	22	27	35	35	23	39	20	22
b3469	3	11	5	9	7	4	9	2	6
b3470	6	6	10	3	13	5	6	3	9
b3471	4	18	8	18	7	5	10	8	9
b3472	107	60	80	62	80	53	78	40	84
b3473	9	17	10	13	13	12	14	9	17
b3474	22	26	18	16	15	4	24	26	13
b3475	14	19	10	16	13	8	12	10	10
b3476	1	5	1	0	2	2	3	2	1
b3477	0	1	0	2	1	1	1	1	0
b3478	0	1	1	0	0	1	0	0	0
b3479	0	4	0	0	0	0	0	3	1
b3480	2	1	3	2	0	3	4	2	2
b3481	22	17	12	20	20	21	15	17	16
b3482	2	7	6	2	1	3	9	3	4
b3483	1	1	1	0	0	1	1	0	0
b3484	0	1	2	1	5	1	3	2	2
b3485	15	13	14	13	19	16	9	5	12
b3486	21	45	26	12	28	16	20	19	29
b3487	7	19	13	2	12	14	13	6	10
b3488	10	9	3	7	2	4	14	3	4
b3491	8	16	12	5	11	20	14	4	10
b3492	11	26	19	14	19	9	17	5	12
b3493	46	58	67	47	53	53	56	25	66
b3494	46	42	24	37	36	26	48	23	27
b3495	520	519	605	541	853	501	624	407	657
b3496	20	18	20	24	26	19	22	18	18
b3497	12	9	7	9	7	8	8	3	4
b3498	152	178	177	150	184	171	125	97	185
b3499	28	25	34	11	16	15	20	17	27
b3500	74	103	112	92	61	71	81	67	119
b3501	1	5	3	1	1	0	4	2	2
b3502	6	5	5	5	5	6	7	6	4
b3503	4	8	4	3	1	1	1	3	4
b3504	0	3	2	0	1	2	1	1	3
b3505	10	27	30	20	26	22	27	18	22
b3506	165	147	134	74	132	85	67	39	75
b3507	11	10	21	6	7	3	4	2	8
b3508	11	17	19	2	11	2	6	2	11
b3509	224	391	316	116	252	183	134	105	205
b3510	536	754	691	230	569	441	303	179	444
b3511	62	74	76	12	66	41	16	19	57
b3512	27	68	57	14	48	26	20	13	36
b3513	9	15	14	2	12	9	5	3	4
b3514	33	54	34	14	34	23	13	12	19
b3515	146	132	124	108	173	101	168	81	82
b3516	134	144	139	93	135	93	109	58	90
b3517	167	261	265	49	83	66	29	45	111
b3518	6	4	8	7	6	7	5	8	6
b3519	115	131	99	69	61	52	55	116	68
b3520	6	13	18	18	14	14	13	10	7
b3521	5	3	3	4	11	9	8	3	10
b3522	44	34	37	33	42	33	39	21	36
b3523	73	86	144	247	149	222	133	62	140
b3524	94	82	88	78	64	63	71	60	67
b3525	1	3	5	1	3	1	6	0	1
b3526	17	32	30	26	29	46	17	26	29
b3527	33	44	42	45	41	43	38	31	48
b3528	8	11	18	7	8	5	7	5	14
b3529	32	32	22	31	46	32	40	28	30
b3530	38	36	37	42	29	33	21	22	35
b3531	3	6	10	1	2	6	1	3	1
b3532	13	19	14	12	15	11	8	10	15
b3533	5	7	11	9	9	11	7	10	4
b3534	7	5	14	16	15	9	11	6	10
b3535	14	11	9	13	17	13	22	6	14
b3536	202	210	214	189	219	186	173	104	185
b3537	10	12	14	5	1	12	2	5	10
b3538	73	80	93	54	62	51	43	35	59
b3539	8	13	12	13	23	22	15	4	11
b3540	10	11	12	11	33	21	19	11	17
b3541	5	2	9	14	11	10	4	4	14
b3542	2	3	3	3	4	6	5	1	5
b3543	1	4	8	7	17	6	4	5	9
b3544	506	815	956	1739	2103	2598	1362	636	1667
b3545	1	0	0	2	1	0	0	1	0
b3546	27	14	20	12	18	26	23	11	22
b3547	1	3	1	3	6	2	7	1	2
b3548	26	36	35	37	58	39	29	29	31
b3549	35	39	41	42	54	57	42	30	35
b3550	12	10	17	12	18	19	16	4	12
b3551	57	68	71	86	78	71	78	59	81
b3552	4	5	5	2	3	2	4	5	0
b3553	276	259	339	451	369	341	339	202	306
b3554	119	116	125	175	185	171	174	65	156
b3555	177	301	199	133	188	124	302	162	154
b3556	21	11	28	77	34	50	74	36	42
b3557	4	3	8	4	4	1	6	0	2
b3558	0	7	2	2	2	1	3	1	1
b3559	203	217	333	301	385	290	275	144	401
b3560	93	107	171	145	153	149	119	61	191
b3561	6	13	5	12	9	14	12	7	15
b3562	1	2	1	0	0	1	4	1	0
b3563	1	1	1	2	3	0	2	4	0
b3564	5	13	15	5	15	10	9	3	10
b3565	20	29	14	14	23	15	21	11	15
b3566	2	7	2	5	4	3	4	5	0
b3567	12	16	10	26	17	16	26	20	14
b3568	5	8	4	10	10	2	5	6	3
b3569	12	20	28	16	25	14	25	14	29
b3570	181	206	200	167	224	178	218	112	198
b3571	12	11	7	12	21	10	10	10	5
b3572	221	190	262	217	167	202	156	134	226
b3573	6	2	12	7	10	12	4	3	11
b3574	18	32	32	23	30	40	15	17	45
b3575	1	2	1	0	2	1	4	4	3
b3576	0	0	0	0	0	0	0	0	0
b3577	0	1	0	0	0	0	0	0	0
b3578	0	2	1	4	4	1	4	2	0
b3579	0	3	1	0	1	3	3	2	2
b3580	2	7	0	0	2	3	2	2	3
b3581	1	1	0	0	0	1	1	0	0
b3582	0	3	3	1	1	0	2	1	0
b3583	2	2	0	3	2	1	3	3	2
b3584	0	1	0	4	3	1	4	1	1
b3585	9	13	10	13	10	8	18	11	16
b3586	6	4	3	1	7	1	4	4	8
b3587	0	2	1	0	0	1	4	0	0
b3588	21	45	27	15	15	15	20	19	19
b3589	1	5	1	1	3	2	3	1	0
b3590	27	36	32	40	35	32	32	24	41
b3591	12	22	29	9	22	21	16	17	30
b3592	74	56	117	170	80	104	88	43	76
b3593	11	12	2	10	7	9	11	8	5
b3594	4	1	4	4	7	5	6	4	6
b3595	2	2	4	0	1	5	3	2	2
b3596	1	0	0	1	1	0	0	0	0
b3597	15	31	14	21	13	18	14	17	15
b3598	7	11	11	5	8	11	12	10	7
b3599	52	72	74	52	81	55	33	24	69
b3600	90	108	129	88	120	79	58	49	98
b3601	47	67	54	27	71	44	46	40	43
b3602	49	45	50	51	58	52	53	41	37
b3603	15	21	20	30	23	27	13	9	9
b3604	7	6	9	13	7	14	6	4	5
b3605	9	19	16	8	12	11	12	8	15
b3606	6	5	2	6	8	2	5	4	3
b3607	54	53	66	59	68	54	64	38	59
b3608	80	79	114	60	120	54	54	38	116
b3609	199	233	287	258	327	223	268	113	265
b3610	113	177	141	167	187	130	166	78	168
b3611	86	110	152	115	123	127	92	60	135
b3612	279	343	405	363	354	357	333	219	374
b3613	22	45	48	35	54	39	21	23	64
b3614	12	21	25	6	15	8	8	5	19
b3615	3	6	8	3	6	4	5	0	3
b3616	32	55	50	42	46	48	57	30	44
b3617	30	25	26	20	46	44	43	26	45
b3618	32	41	24	29	36	28	55	24	24
b3619	236	232	262	226	230	230	270	168	274
b3620	77	83	84	53	85	54	42	55	71
b3621	32	35	46	25	38	27	27	32	37
b3622	38	39	48	38	54	40	78	36	50
b3623	17	30	29	43	53	48	85	23	27
b3624	13	22	20	39	40	36	76	15	25
b3625	20	20	27	41	40	30	78	12	30
b3626	25	39	45	61	68	61	86	22	44
b3627	34	41	40	53	51	60	112	27	48
b3628	46	59	34	78	72	64	118	34	54
b3629	19	20	7	32	24	36	50	15	27
b3630	27	15	23	27	36	37	57	26	31
b3631	73	54	73	81	98	81	118	40	70
b3632	74	77	58	92	96	99	117	63	93
b3633	22	35	37	46	36	33	29	16	46
b3634	11	10	12	12	16	10	18	8	17
b3635	5	5	7	3	7	4	7	4	9
b3636	162	177	198	167	191	132	194	164	229
b3637	604	675	717	638	800	582	704	487	801
b3638	36	29	38	33	55	22	47	22	46
b3639	32	29	39	27	33	39	38	21	53
b3640	30	32	43	30	55	30	28	23	47
b3641	18	20	42	26	40	34	27	15	42
b3642	1	2	5	6	6	4	4	4	8
b3643	32	33	38	25	21	17	17	15	29
b3644	105	118	129	143	165	105	145	89	161
b3645	7	4	4	8	6	1	9	5	2
b3646	1	4	1	2	1	3	2	4	3
b3647	4	7	3	7	5	3	10	4	4
b3648	165	157	210	241	215	182	277	126	205
b3649	139	128	139	156	143	120	123	85	168
b3650	184	240	242	157	199	178	148	130	246
b3651	22	30	39	24	20	18	22	21	30
b3652	28	38	23	10	24	22	15	24	21
b3653	16	19	18	33	29	15	35	16	27
b3654	55	80	86	84	76	83	44	53	88
b3655	76	84	105	165	161	160	73	56	105
b3656	7	12	6	14	13	17	8	8	15
b3657	4	5	6	1	5	4	4	4	2
b3658	2	5	4	4	2	3	4	6	7
b3659	2	4	1	2	1	2	4	3	3
b3660	34	40	31	57	60	52	63	26	49
b3661	150	156	179	205	264	194	215	136	226
b3662	9	9	18	8	12	9	5	3	12
b3663	6	3	7	5	9	4	5	6	10
b3664	0	4	0	4	2	4	1	4	4
b3665	5	10	15	7	8	8	11	6	8
b3666	1	1	3	1	2	3	3	0	0
b3667	4	9	6	9	6	7	11	5	12
b3668	6	8	6	7	10	14	13	10	14
b3669	31	22	26	15	40	20	20	23	47
b3670	26	36	55	28	63	42	35	65	72
b3671	115	117	157	64	246	180	119	168	311
b3672	63	109	86	114	136	66	125	95	185
b3673	0	0	0	3	0	0	1	0	0
b3674	0	5	0	3	0	2	3	0	6
b3675	7	3	7	6	4	6	8	5	6
b3676	6	9	7	3	7	8	9	5	5
b3677	4	7	5	12	10	6	11	2	9
b3678	3	7	3	2	7	6	4	7	1
b3679	2	3	3	3	2	4	6	4	4
b3680	12	7	7	17	11	11	8	7	10
b3683	3	1	1	1	2	1	3	3	2
b3684	2	4	0	4	2	3	1	1	3
b3685	25	23	35	40	35	39	29	18	25
b3686	2	1	0	2	4	2	6	0	4
b3687	4	10	7	8	14	16	24	6	6
b3688	33	54	46	37	58	42	46	30	37
b3689	25	25	27	31	44	36	32	21	38
b3690	1	10	8	5	3	4	2	7	5
b3691	2	7	2	1	3	3	6	4	4
b3693	4	4	2	4	4	4	5	2	8
b3696	9	22	17	12	23	25	20	17	21
b3697	84	72	83	70	87	77	79	46	101
b3698	14	13	19	15	12	11	14	9	25
b3699	153	154	177	157	142	143	117	87	196
b3700	7	16	15	13	10	20	6	6	15
b3701	84	80	83	103	127	84	66	51	81
b3702	87	118	100	149	145	114	93	59	153
b3703	108	132	135	146	155	106	159	123	132
b3704	29	37	49	13	27	22	11	18	32
b3705	158	185	264	211	202	206	150	137	245
b3706	36	38	39	18	45	28	29	24	29
b3707	0	1	1	0	0	0	0	0	1
b3708	0	2	3	5	3	5	3	2	4
b3709	3	3	1	3	2	0	3	5	2
b3710	1	0	2	2	1	2	2	1	0
b3711	18	14	11	10	15	9	20	10	17
b3712	30	37	34	11	19	28	18	22	17
b3713	82	77	66	34	45	36	22	52	51
b3714	59	65	104	111	131	131	110	55	114
b3715	23	30	26	38	38	32	45	17	22
b3716	9	13	7	13	14	7	12	4	6
b3717	3	12	6	18	14	7	11	3	9
b3718	10	5	6	1	11	5	5	3	5
b3719	1	4	1	3	7	6	8	2	5
b3720	3	6	1	2	2	4	9	3	1
b3721	4	3	2	7	3	3	1	1	1
b3722	11	11	12	5	13	10	16	8	5
b3723	0	3	1	0	0	3	2	1	1
b3724	42	54	54	34	27	31	23	21	38
b3725	29	50	69	40	50	44	32	30	47
b3726	5	10	22	12	14	3	10	10	10
b3727	7	15	19	14	7	14	11	5	14
b3728	53	63	79	39	61	41	36	35	41
b3729	215	250	326	219	448	313	314	152	422
b3730	166	182	215	157	277	238	213	100	293
b3731	94	96	172	68	123	92	82	47	160
b3732	235	280	568	227	301	301	146	148	445
b3733	123	145	260	108	223	139	82	52	257
b3734	539	579	1106	531	942	664	415	283	985
b3735	183	241	374	197	346	230	180	105	374
b3736	275	282	499	253	448	324	215	135	504
b3737	141	207	329	214	307	249	205	78	325
b3738	221	274	434	298	457	405	247	139	434
b3739	36	24	52	25	39	44	27	18	53
b3740	17	23	25	27	32	39	40	18	28
b3741	47	78	68	69	124	84	72	57	87
b3742	92	91	96	188	123	145	169	86	154
b3743	4	8	8	2	7	9	9	8	6
b3744	23	13	19	16	19	21	12	20	28
b3745	28	39	25	28	39	32	28	22	40
b3746	59	79	74	78	89	63	71	39	62
b3747	27	29	42	34	38	26	37	22	26
b3748	0	6	8	2	6	10	11	2	9
b3749	8	8	13	8	11	6	13	10	15
b3750	6	8	14	6	20	6	8	6	17
b3751	63	72	75	88	113	73	94	30	105
b3752	22	21	38	17	34	16	24	13	21
b3753	9	11	13	11	14	13	15	5	13
b3754	13	13	17	16	18	10	21	5	12
b3755	33	35	40	66	68	61	67	23	58
b3756	26	213	37	54	33	19	16	41	62
b3757	3	10	3	6	6	7	6	5	9
b3758	49	362	64	100	70	51	20	88	105
b3759	1	4	0	1	1	0	2	3	0
b3760	4	6	2	3	3	2	5	4	3
b3761	0	1	0	0	0	0	0	0	0
