	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b2050	0	4	0	1	0	1	3	2	0
b2051	0	3	0	0	1	0	2	2	0
b2052	2	0	1	1	3	2	1	9	4
b2053	13	12	5	6	5	5	1	23	2
b2054	4	1	1	1	1	1	2	8	1
b2055	3	7	3	1	2	2	3	12	1
b2056	3	4	2	0	2	0	5	8	1
b2057	5	1	0	3	0	6	4	7	0
b2058	2	0	0	0	4	1	1	3	0
b2059	13	3	4	3	2	2	2	13	1
b2060	7	14	4	3	4	2	7	22	2
b2061	0	1	1	0	0	0	1	2	0
b2062	13	6	4	0	0	1	1	14	1
b2063	38	30	42	50	29	33	35	33	44
b2064	46	53	52	85	69	78	64	44	51
b2065	31	32	38	44	38	28	29	19	38
b2066	31	34	41	39	37	45	34	22	44
b2067	83	52	52	63	65	47	46	51	42
b2068	5	11	10	8	5	7	6	9	10
b2069	8	4	8	6	6	4	6	1	5
b2070	4	11	13	6	10	4	5	6	5
b2071	0	4	0	1	3	1	3	3	2
b2072	2	5	1	1	1	1	2	2	0
b2073	3	1	1	1	1	4	4	2	2
b2074	5	10	7	4	15	11	9	4	7
b2075	14	18	16	13	17	19	14	9	21
b2076	10	17	13	18	15	11	11	13	16
b2077	3	9	6	3	9	6	9	7	1
b2078	5	15	11	8	5	12	6	4	9
b2079	25	33	24	32	33	31	38	15	26
b2080	131	189	132	91	144	72	115	94	114
b2081	44	85	64	35	56	48	33	45	77
b2082	1	2	1	5	6	5	5	3	2
b2083	1	0	1	0	4	3	3	3	1
b2085	1	0	1	1	0	1	4	0	2
b2086	100	105	88	81	60	49	51	69	76
b2088	1	1	1	1	1	3	5	5	3
b2089	4	4	6	6	3	2	6	7	5
b2091	139	73	274	149	183	153	137	58	183
b2092	274	157	567	269	355	268	231	99	351
b2093	77	47	140	96	134	83	85	52	140
b2094	198	86	307	206	278	214	244	103	219
b2095	874	619	1320	1200	1126	1160	1070	566	1101
b2096	778	627	1117	1053	978	919	868	553	922
b2097	520	624	580	381	459	326	326	352	428
b2098	3	4	4	7	4	8	5	3	5
b2099	1	4	1	4	7	9	4	2	3
b2100	1	6	4	2	0	4	5	5	2
b2101	10	8	6	10	12	12	12	5	6
b2102	9	8	12	11	8	20	7	15	20
b2103	64	97	75	122	131	129	90	85	108
b2104	67	79	86	119	142	122	105	87	132
b2105	11	15	13	9	21	11	6	6	8
b2106	16	19	20	18	13	14	11	9	10
b2107	23	17	17	29	34	36	41	12	27
b2108	2	3	2	1	0	0	3	2	2
b2109	2	7	3	4	4	4	7	6	6
b2110	1	0	0	1	0	0	2	2	0
b2111	0	1	1	1	0	0	2	0	1
b2112	48	63	51	61	65	38	79	43	35
b2113	53	58	78	63	67	43	62	34	76
b2114	238	260	291	312	322	290	284	188	353
b2118	13	17	14	16	14	15	16	14	9
b2119	0	3	1	1	0	0	3	4	1
b2120	3	6	1	5	3	4	2	9	2
b2121	3	1	2	0	1	4	2	1	0
b2122	1	12	1	5	3	5	6	5	2
b2123	1	3	1	6	5	2	6	2	6
b2124	23	28	24	38	39	22	39	14	25
b2125	4	5	7	13	13	5	13	7	13
b2126	7	12	12	5	12	7	9	14	12
b2127	51	40	41	51	30	28	28	35	27
b2128	12	16	12	18	12	10	15	9	9
b2129	6	4	13	15	7	12	5	7	10
b2130	10	10	14	9	9	6	5	6	4
b2131	69	74	82	75	62	70	61	56	60
b2132	62	76	94	85	96	87	58	53	90
b2133	312	331	424	464	404	430	374	272	408
b2134	51	83	81	88	74	96	66	44	78
b2135	40	22	26	40	20	19	40	32	11
b2136	18	14	14	14	14	9	15	9	17
b2137	18	21	14	11	19	22	14	14	16
b2139	3	4	1	1	5	1	2	0	1
b2140	1	4	6	3	7	8	7	2	7
b2141	4	6	4	7	10	4	10	4	5
b2142	13	8	7	10	14	14	12	3	8
b2143	18	29	35	34	19	27	22	18	17
b2144	9	17	16	20	17	18	21	8	19
b2145	1	4	3	4	1	1	5	1	2
b2146	2	1	3	4	4	6	3	0	5
b2147	4	8	4	2	3	6	6	3	6
b2148	6	2	7	1	7	1	3	4	5
b2149	10	11	13	12	11	5	6	5	10
b2150	14	23	32	30	40	26	9	17	31
b2151	9	4	2	10	5	5	9	3	5
b2152	78	73	74	94	36	46	35	75	43
b2153	999	1025	896	1344	464	645	514	1232	570
b2154	89	95	118	68	158	100	61	69	159
b2155	869	1394	1848	934	3212	1718	614	613	2373
b2156	106	114	130	87	92	58	58	114	115
b2157	27	17	34	25	23	21	19	16	33
b2158	9	9	14	24	16	10	15	19	24
b2159	64	89	78	89	90	80	112	65	79
b2160	34	27	29	22	31	14	41	28	32
b2161	1	5	2	1	2	5	6	1	1
b2162	0	2	0	2	1	0	3	3	0
b2163	2	4	0	3	1	2	5	0	0
b2164	6	2	2	4	11	8	5	0	0
b2165	0	3	0	2	3	3	1	2	1
b2166	0	2	0	1	0	0	3	1	1
b2167	26	30	46	30	33	24	23	12	17
b2168	10	11	27	30	12	13	15	12	9
b2169	19	17	33	32	10	18	8	9	14
b2170	2	5	3	8	6	8	8	1	3
b2171	33	51	48	56	40	41	42	21	50
b2172	25	26	37	65	27	47	31	29	19
b2173	30	31	33	20	23	19	20	16	21
b2174	11	20	11	17	12	19	16	15	20
